Title,Concept,Difficulty,Acceptance,LeetCodeLink,popularity
Delete Columns to Make Sorted III,Arrays & Hashing,Hard,53.90%,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/,29125
N-Repeated Element in Size 2N Array,Arrays & Hashing,Easy,73.20%,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/,342218
Add to Array-Form of Integer,Math & Geometry,Easy,44.10%,https://leetcode.com/problems/add-to-array-form-of-integer/,676706
Subarrays with K Different Integers,Math & Geometry,Hard,46.50%,https://leetcode.com/problems/subarrays-with-k-different-integers/,464079
Number of Squareful Arrays,Arrays & Hashing,Hard,47.90%,https://leetcode.com/problems/number-of-squareful-arrays/,89692
Partition Array Into Three Parts With Equal Sum,Two Pointers,Easy,55.70%,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/,265435
Previous Permutation With One Swap,Arrays & Hashing,Medium,48.00%,https://leetcode.com/problems/previous-permutation-with-one-swap/,91522
Missing Element in Sorted Array,Arrays & Hashing,Medium,54.50%,https://leetcode.com/problems/missing-element-in-sorted-array/,269888
Number of Valid Subarrays,Arrays & Hashing,Hard,70.10%,https://leetcode.com/problems/number-of-valid-subarrays/,21096
Find in Mountain Array,Arrays & Hashing,Hard,35.60%,https://leetcode.com/problems/find-in-mountain-array/,422930
Divide Array Into Increasing Sequences,Arrays & Hashing,Hard,56.40%,https://leetcode.com/problems/divide-array-into-increasing-sequences/,8697
Relative Sort Array,Arrays & Hashing,Easy,67.30%,https://leetcode.com/problems/relative-sort-array/,498201
Decrease Elements To Make Array Zigzag,Arrays & Hashing,Medium,44.70%,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag/,48584
Snapshot Array,Arrays & Hashing,Medium,36.00%,https://leetcode.com/problems/snapshot-array/,676218
Check If a Number Is Majority Element in a Sorted Array,Arrays & Hashing,Easy,60.10%,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,95117
Online Majority Element In Subarray,Arrays & Hashing,Hard,37.80%,https://leetcode.com/problems/online-majority-element-in-subarray/,49184
Make Array Strictly Increasing,Arrays & Hashing,Hard,40.80%,https://leetcode.com/problems/make-array-strictly-increasing/,109132
Intersection of Three Sorted Arrays,Arrays & Hashing,Easy,78.20%,https://leetcode.com/problems/intersection-of-three-sorted-arrays/,125135
Count Vowels Permutation,Arrays & Hashing,Hard,52.90%,https://leetcode.com/problems/count-vowels-permutation/,288946
Circular Permutation in Binary Representation,Trees,Medium,62.80%,https://leetcode.com/problems/circular-permutation-in-binary-representation/,30556
Array Transformation,Arrays & Hashing,Easy,51.80%,https://leetcode.com/problems/array-transformation/,28518
Count Number of Nice Subarrays,Arrays & Hashing,Medium,54.60%,https://leetcode.com/problems/count-number-of-nice-subarrays/,505939
Check If It Is a Good Array,Arrays & Hashing,Hard,52.30%,https://leetcode.com/problems/check-if-it-is-a-good-array/,50084
Element Appearing More Than 25% In Sorted Array,Arrays & Hashing,Easy,59.70%,https://leetcode.com/problems/element-appearing-more-than-25%-in-sorted-array/,394658
Divide Array in Sets of K Consecutive Numbers,Arrays & Hashing,Medium,49.40%,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers/,194242
Sum of Mutated Array Closest to Target,Two Pointers,Medium,45.60%,https://leetcode.com/problems/sum-of-mutated-array-closest-to-target/,98327
XOR Queries of a Subarray,Bit Manipulation,Medium,66.70%,https://leetcode.com/problems/xor-queries-of-a-subarray/,263982
Rank Transform of an Array,Arrays & Hashing,Easy,58.60%,https://leetcode.com/problems/rank-transform-of-an-array/,424961
Reduce Array Size to The Half,Arrays & Hashing,Medium,66.10%,https://leetcode.com/problems/reduce-array-size-to-the-half/,314840
Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Arrays & Hashing,Medium,63.30%,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/,208560
Construct Target Array With Multiple Sums,Two Pointers,Hard,33.40%,https://leetcode.com/problems/construct-target-array-with-multiple-sums/,192278
Find the Distance Value Between Two Arrays,Two Pointers,Easy,69.70%,https://leetcode.com/problems/find-the-distance-value-between-two-arrays/,181822
Create Target Array in the Given Order,Arrays & Hashing,Easy,82.20%,https://leetcode.com/problems/create-target-array-in-the-given-order/,333876
Find Lucky Integer in an Array,Math & Geometry,Easy,68.70%,https://leetcode.com/problems/find-lucky-integer-in-an-array/,384017
Merge Two Sorted Lists,Two Pointers,Easy,51.90%,https://leetcode.com/problems/merge-two-sorted-lists/,8004483
Merge k Sorted Lists,Arrays & Hashing,Hard,38.70%,https://leetcode.com/problems/merge-k-sorted-lists/,4476323
Remove Duplicates from Sorted Array,Two Pointers,Easy,43.80%,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,10556753
Rotate List,Arrays & Hashing,Medium,29.10%,https://leetcode.com/problems/rotate-list/,3307361
Merge Sorted Array,Arrays & Hashing,Easy,38.50%,https://leetcode.com/problems/merge-sorted-array/,8895132
Convert Sorted Array to Binary Search Tree,Trees,Easy,55.80%,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,2027594
Rotate Array,Arrays & Hashing,Easy,33.40%,https://leetcode.com/problems/rotate-array/,7468621
Kth Largest Element in an Array,Arrays & Hashing,Medium,53.10%,https://leetcode.com/problems/kth-largest-element-in-an-array/,4520411
Subarray Sum Equals K,Two Pointers,Medium,43.50%,https://leetcode.com/problems/subarray-sum-equals-k/,4048784
Subarray Product Less Than K,Arrays & Hashing,Medium,38.60%,https://leetcode.com/problems/subarray-product-less-than-k/,958180
Sort an Array,Arrays & Hashing,Medium,62.80%,https://leetcode.com/problems/sort-an-array/,1656000
Valid Mountain Array,Arrays & Hashing,Easy,35.50%,https://leetcode.com/problems/valid-mountain-array/,1463961
Subarray Sums Divisible by K,Two Pointers,Medium,47.70%,https://leetcode.com/problems/subarray-sums-divisible-by-k/,741637
Squares of a Sorted Array,Arrays & Hashing,Easy,72.30%,https://leetcode.com/problems/squares-of-a-sorted-array/,3090828
Search in Rotated Sorted Array,Binary Search,Medium,33.70%,https://leetcode.com/problems/search-in-rotated-sorted-array/,8566709
Letter Combinations of a Phone Number,Backtracking,Medium,45.30%,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,4063733
Generate Parentheses,Stack,Medium,60.50%,https://leetcode.com/problems/generate-parentheses/,3136817
Combination Sum,Two Pointers,Medium,54.00%,https://leetcode.com/problems/combination-sum/,3491869
Combination Sum II,Two Pointers,Medium,46.20%,https://leetcode.com/problems/combination-sum-ii/,2461991
Combinations,Backtracking,Medium,52.70%,https://leetcode.com/problems/combinations/,1568622
Valid Phone Numbers,Backtracking,Easy,25.30%,https://leetcode.com/problems/valid-phone-numbers/,385117
Combination Sum III,Two Pointers,Medium,55.00%,https://leetcode.com/problems/combination-sum-iii/,945891
Factor Combinations,Backtracking,Medium,46.20%,https://leetcode.com/problems/factor-combinations/,273185
Combination Sum IV,Two Pointers,Medium,44.60%,https://leetcode.com/problems/combination-sum-iv/,1015925
Design Phone Directory,Backtracking,Medium,45.90%,https://leetcode.com/problems/design-phone-directory/,135976
Generate Random Point in a Circle,Backtracking,Medium,38.40%,https://leetcode.com/problems/generate-random-point-in-a-circle/,115423
Iterator for Combination,Backtracking,Medium,65.80%,https://leetcode.com/problems/iterator-for-combination/,108888
Generate a String With Characters That Have Odd Counts,Backtracking,Easy,76.20%,https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts/,136071
Search Insert Position,Binary Search,Easy,41.50%,https://leetcode.com/problems/search-insert-position/,7970698
Word Search,Binary Search,Medium,34.00%,https://leetcode.com/problems/word-search/,4705182
Recover Binary Search Tree,Trees,Hard,38.00%,https://leetcode.com/problems/recover-binary-search-tree/,988056
Binary Search Tree Iterator,Trees,Medium,54.00%,https://leetcode.com/problems/binary-search-tree-iterator/,1301489
Add and Search Word - Data structure design,Math & Geometry,Medium,34.70%,https://leetcode.com/problems/add-and-search-word-data-structure-design/,1700000
Word Search II,Binary Search,Hard,32.50%,https://leetcode.com/problems/word-search-ii/,2148328
Lowest Common Ancestor of a Binary Search Tree,Trees,Easy,48.50%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,2836846
Verify Preorder Sequence in Binary Search Tree,Trees,Medium,45.30%,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,176632
Closest Binary Search Tree Value,Trees,Easy,46.50%,https://leetcode.com/problems/closest-binary-search-tree-value/,856266
Closest Binary Search Tree Value II,Trees,Hard,49.20%,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,216645
Design Search Autocomplete System,Binary Search,Hard,43.00%,https://leetcode.com/problems/design-search-autocomplete-system/,316691
Trim a Binary Search Tree,Trees,Easy,62.20%,https://leetcode.com/problems/trim-a-binary-search-tree/,488398
Prefix and Suffix Search,Binary Search,Hard,33.30%,https://leetcode.com/problems/prefix-and-suffix-search/,258729
Construct Binary Search Tree from Preorder Traversal,Trees,Medium,75.40%,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/,559637
Binary Search Tree to Greater Sum Tree,Two Pointers,Medium,79.60%,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,360469
Search Suggestions System,Binary Search,Medium,60.90%,https://leetcode.com/problems/search-suggestions-system/,608552
All Elements in Two Binary Search Trees,Two Pointers,Medium,75.00%,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/,304373
Balance a Binary Search Tree,Trees,Medium,74.50%,https://leetcode.com/problems/balance-a-binary-search-tree/,338218
Unique Binary Search Trees II,Trees,Medium,39.00%,https://leetcode.com/problems/unique-binary-search-trees-ii/,857685
Unique Binary Search Trees,Trees,Medium,50.10%,https://leetcode.com/problems/unique-binary-search-trees/,1234184
Validate Binary Search Tree,Trees,Medium,27.30%,https://leetcode.com/problems/validate-binary-search-tree/,8450315
Find Mode in Binary Search Tree,Trees,Easy,41.30%,https://leetcode.com/problems/find-mode-in-binary-search-tree/,616538
Search in a Binary Search Tree,Trees,Easy,70.70%,https://leetcode.com/problems/search-in-a-binary-search-tree/,1444237
Insert into a Binary Search Tree,Trees,Medium,79.10%,https://leetcode.com/problems/insert-into-a-binary-search-tree/,978055
Binary Search,Trees,Easy,50.80%,https://leetcode.com/problems/binary-search/,5440894
Increasing Order Search Tree,Trees,Easy,68.10%,https://leetcode.com/problems/increasing-order-search-tree/,401980
Reverse Bits,Linked List,Easy,35.70%,https://leetcode.com/problems/reverse-bits/,1611088
Number of 1 Bits,Bit Manipulation,Easy,47.60%,https://leetcode.com/problems/number-of-1-bits/,2452933
Bitwise AND of Numbers Range,Bit Manipulation,Medium,37.20%,https://leetcode.com/problems/bitwise-and-of-numbers-range/,966587
Counting Bits,Bit Manipulation,Medium,67.20%,https://leetcode.com/problems/counting-bits/,1754261
Binary Number with Alternating Bits,Trees,Easy,59.00%,https://leetcode.com/problems/binary-number-with-alternating-bits/,248803
1-bit and 2-bit Characters,Bit Manipulation,Easy,49.00%,https://leetcode.com/problems/1-bit-and-2-bit-characters/,340481
Prime Number of Set Bits in Binary Representation,Trees,Easy,62.10%,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/,168355
Rabbits in Forest,Bit Manipulation,Medium,53.60%,https://leetcode.com/problems/rabbits-in-forest/,296401
Chalkboard XOR Game,Bit Manipulation,Hard,47.30%,https://leetcode.com/problems/chalkboard-xor-game/,24229
Triples with Bitwise AND Equal To Zero,Bit Manipulation,Hard,55.80%,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/,37217
Minimum Number of K Consecutive Bit Flips,Bit Manipulation,Hard,46.20%,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/,216925
Sort Integers by The Number of 1 Bits,Math & Geometry,Easy,69.00%,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits/,320954
Clone Graph,Graphs,Medium,32.30%,https://leetcode.com/problems/clone-graph/,2600622
Graph Valid Tree,Trees,Medium,41.40%,https://leetcode.com/problems/graph-valid-tree/,983011
Number of Islands II,Graphs,Hard,40.30%,https://leetcode.com/problems/number-of-islands-ii/,412018
Number of Connected Components in an Undirected Graph,Graphs,Medium,54.60%,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,762074
Lexicographical Numbers,Graphs,Medium,49.90%,https://leetcode.com/problems/lexicographical-numbers/,477670
K-th Smallest in Lexicographical Order,Graphs,Hard,28.20%,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order/,351543
Island Perimeter,Graphs,Easy,63.10%,https://leetcode.com/problems/island-perimeter/,1002068
Students Report By Geography,Graphs,Hard,50.50%,https://leetcode.com/problems/students-report-by-geography/,43069
Course Schedule III,Graphs,Hard,32.90%,https://leetcode.com/problems/course-schedule-iii/,309004
Number of Distinct Islands,Graphs,Medium,54.70%,https://leetcode.com/problems/number-of-distinct-islands/,310936
Number of Distinct Islands II,Graphs,Hard,48.40%,https://leetcode.com/problems/number-of-distinct-islands-ii/,24535
Making A Large Island,Graphs,Hard,44.80%,https://leetcode.com/problems/making-a-large-island/,647531
Reachable Nodes In Subdivided Graph,Linked List,Hard,40.40%,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/,64925
Lexicographically Smallest Equivalent String,Graphs,Medium,64.50%,https://leetcode.com/problems/lexicographically-smallest-equivalent-string/,211966
Parallel Courses,Graphs,Hard,60.50%,https://leetcode.com/problems/parallel-courses/,161952
Last Substring in Lexicographical Order,Trees,Hard,33.00%,https://leetcode.com/problems/last-substring-in-lexicographical-order/,114544
Number of Closed Islands,Graphs,Medium,59.30%,https://leetcode.com/problems/number-of-closed-islands/,385959
Number of Islands,Graphs,Medium,45.20%,https://leetcode.com/problems/number-of-islands/,5641652
Course Schedule,Graphs,Medium,41.20%,https://leetcode.com/problems/course-schedule/,4344497
Course Schedule II,Graphs,Medium,38.50%,https://leetcode.com/problems/course-schedule-ii/,2642489
Is Graph Bipartite?,Graphs,Medium,46.20%,https://leetcode.com/problems/is-graph-bipartite/,1278372
Jump Game II,Greedy,Hard,29.90%,https://leetcode.com/problems/jump-game-ii/,4261525
Jump Game,Greedy,Medium,33.40%,https://leetcode.com/problems/jump-game/,6780245
Frog Jump,Greedy,Hard,38.70%,https://leetcode.com/problems/frog-jump/,653463
Odd Even Jump,Greedy,Hard,43.50%,https://leetcode.com/problems/odd-even-jump/,239986
Jump Game III,Greedy,Medium,60.60%,https://leetcode.com/problems/jump-game-iii/,413153
Jump Game V,Greedy,Hard,56.20%,https://leetcode.com/problems/jump-game-v/,59538
Jump Game IV,Greedy,Hard,34.80%,https://leetcode.com/problems/jump-game-iv/,337560
Cheapest Flights Within K Stops,Heap / Priority Queue,Medium,37.40%,https://leetcode.com/problems/cheapest-flights-within-k-stops/,1863655
Meeting Rooms,Intervals,Easy,53.90%,https://leetcode.com/problems/meeting-rooms/,801056
Meeting Rooms II,Intervals,Medium,45.00%,https://leetcode.com/problems/meeting-rooms-ii/,2033691
Best Meeting Point,Intervals,Hard,57.00%,https://leetcode.com/problems/best-meeting-point/,151514
Data Stream as Disjoint Intervals,Intervals,Hard,45.80%,https://leetcode.com/problems/data-stream-as-disjoint-intervals/,201708
Non-overlapping Intervals,Intervals,Medium,42.30%,https://leetcode.com/problems/non-overlapping-intervals/,1460846
Find Right Interval,Intervals,Medium,44.50%,https://leetcode.com/problems/find-right-interval/,258241
Meeting Scheduler,Intervals,Medium,48.00%,https://leetcode.com/problems/meeting-scheduler/,177159
Remove Interval,Intervals,Medium,56.80%,https://leetcode.com/problems/remove-interval/,60162
Remove Covered Intervals,Intervals,Medium,61.40%,https://leetcode.com/problems/remove-covered-intervals/,237388
Merge Intervals,Intervals,Medium,38.30%,https://leetcode.com/problems/merge-intervals/,6629414
Insert Interval,Intervals,Hard,32.80%,https://leetcode.com/problems/insert-interval/,3411267
Interval List Intersections,Intervals,Medium,65.90%,https://leetcode.com/problems/interval-list-intersections/,714782
Remove Nth Node From End of List,Linked List,Medium,34.90%,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,7229802
Swap Nodes in Pairs,Linked List,Medium,48.80%,https://leetcode.com/problems/swap-nodes-in-pairs/,2464004
Reverse Nodes in k-Group,Linked List,Hard,40.20%,https://leetcode.com/problems/reverse-nodes-in-k-group/,1993406
Flatten Binary Tree to Linked List,Trees,Medium,47.10%,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,1765085
Populating Next Right Pointers in Each Node,Linked List,Medium,42.70%,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,1857364
Populating Next Right Pointers in Each Node II,Linked List,Medium,37.50%,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,1365080
Linked List Cycle II,Linked List,Medium,35.80%,https://leetcode.com/problems/linked-list-cycle-ii/,3048411
Evaluate Reverse Polish Notation,Linked List,Medium,35.10%,https://leetcode.com/problems/evaluate-reverse-polish-notation/,2580781
Reverse Words in a String,Linked List,Medium,19.80%,https://leetcode.com/problems/reverse-words-in-a-string/,4641921
Reverse Words in a String II,Linked List,Medium,41.90%,https://leetcode.com/problems/reverse-words-in-a-string-ii/,311617
Count Complete Tree Nodes,Trees,Medium,41.70%,https://leetcode.com/problems/count-complete-tree-nodes/,1408022
Odd Even Linked List,Linked List,Medium,52.70%,https://leetcode.com/problems/odd-even-linked-list/,2025458
Reverse String,Linked List,Easy,66.10%,https://leetcode.com/problems/reverse-string/,4073671
Reverse Vowels of a String,Linked List,Easy,43.30%,https://leetcode.com/problems/reverse-vowels-of-a-string/,2239014
Plus One Linked List,Linked List,Medium,57.80%,https://leetcode.com/problems/plus-one-linked-list/,139126
Linked List Random Node,Linked List,Medium,51.20%,https://leetcode.com/problems/linked-list-random-node/,418030
Flatten a Multilevel Doubly Linked List,Linked List,Medium,50.30%,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/,621370
Delete Node in a BST,Trees,Medium,42.10%,https://leetcode.com/problems/delete-node-in-a-bst/,1349987
Reverse Pairs,Linked List,Hard,24.50%,https://leetcode.com/problems/reverse-pairs/,857779
Reverse String II,Linked List,Easy,47.60%,https://leetcode.com/problems/reverse-string-ii/,604809
Reverse Words in a String III,Linked List,Easy,68.30%,https://leetcode.com/problems/reverse-words-in-a-string-iii/,1231065
Tree Node,Trees,Medium,64.50%,https://leetcode.com/problems/tree-node/,269123
Second Minimum Node In a Binary Tree,Trees,Easy,42.90%,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/,490540
Split Linked List in Parts,Linked List,Medium,51.10%,https://leetcode.com/problems/split-linked-list-in-parts/,477947
Minimum Distance Between BST Nodes,Trees,Easy,51.80%,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,484014
Linked List Components,Linked List,Medium,56.60%,https://leetcode.com/problems/linked-list-components/,195327
Shortest Path Visiting All Nodes,Linked List,Hard,51.00%,https://leetcode.com/problems/shortest-path-visiting-all-nodes/,209423
All Nodes Distance K in Binary Tree,Trees,Medium,53.30%,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,897549
Smallest Subtree with all the Deepest Nodes,Trees,Medium,59.90%,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/,228228
Reverse Only Letters,Linked List,Easy,57.40%,https://leetcode.com/problems/reverse-only-letters/,415364
Next Greater Node In Linked List,Linked List,Medium,56.60%,https://leetcode.com/problems/next-greater-node-in-linked-list/,307181
Insufficient Nodes in Root to Leaf Paths,Linked List,Medium,47.70%,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/,86145
Remove Zero Sum Consecutive Nodes from Linked List,Two Pointers,Medium,41.60%,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list/,336463
Reverse Substrings Between Each Pair of Parentheses,Trees,Medium,59.90%,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,325476
Print Immutable Linked List in Reverse,Linked List,Medium,94.40%,https://leetcode.com/problems/print-immutable-linked-list-in-reverse/,68195
Delete Tree Nodes,Trees,Medium,62.50%,https://leetcode.com/problems/delete-tree-nodes/,18029
Convert Binary Number in a Linked List to Integer,Trees,Easy,79.60%,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,681220
Sum of Nodes with Even-Valued Grandparent,Two Pointers,Medium,83.30%,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent/,201731
Validate Binary Tree Nodes,Trees,Medium,57.80%,https://leetcode.com/problems/validate-binary-tree-nodes/,290027
Linked List in Binary Tree,Trees,Medium,39.40%,https://leetcode.com/problems/linked-list-in-binary-tree/,385389
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Trees,Medium,84.40%,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/,295299
Reverse Integer,Math & Geometry,Easy,25.60%,https://leetcode.com/problems/reverse-integer/,13694805
Reverse Linked List II,Linked List,Medium,37.60%,https://leetcode.com/problems/reverse-linked-list-ii/,2242934
Linked List Cycle,Linked List,Easy,40.00%,https://leetcode.com/problems/linked-list-cycle/,7680967
Intersection of Two Linked Lists,Two Pointers,Easy,38.50%,https://leetcode.com/problems/intersection-of-two-linked-lists/,3299773
Remove Linked List Elements,Linked List,Easy,37.30%,https://leetcode.com/problems/remove-linked-list-elements/,2667419
Reverse Linked List,Linked List,Easy,60.40%,https://leetcode.com/problems/reverse-linked-list/,6786786
Palindrome Linked List,Linked List,Easy,38.30%,https://leetcode.com/problems/palindrome-linked-list/,4413107
Delete Node in a Linked List,Linked List,Easy,59.10%,https://leetcode.com/problems/delete-node-in-a-linked-list/,2129976
Design Linked List,Linked List,Medium,22.60%,https://leetcode.com/problems/design-linked-list/,1437640
Middle of the Linked List,Linked List,Easy,68.40%,https://leetcode.com/problems/middle-of-the-linked-list/,3142233
Delete Nodes And Return Forest,Linked List,Medium,65.70%,https://leetcode.com/problems/delete-nodes-and-return-forest/,516177
Add Two Numbers,Two Pointers,Medium,33.00%,https://leetcode.com/problems/add-two-numbers/,12742513
String to Integer (atoi),Math & Geometry,Medium,15.10%,https://leetcode.com/problems/string-to-integer-atoi/,10483317
Integer to Roman,Math & Geometry,Medium,54.00%,https://leetcode.com/problems/integer-to-roman/,2575003
Roman to Integer,Math & Geometry,Easy,54.80%,https://leetcode.com/problems/roman-to-integer/,7595301
Divide Two Integers,Two Pointers,Medium,16.20%,https://leetcode.com/problems/divide-two-integers/,5208556
Add Binary,Trees,Easy,42.80%,https://leetcode.com/problems/add-binary/,3403576
Restore IP Addresses,Math & Geometry,Medium,34.10%,https://leetcode.com/problems/restore-ip-addresses/,1024356
Word Ladder II,Math & Geometry,Hard,20.90%,https://leetcode.com/problems/word-ladder-ii/,1533985
Integer to English Words,Math & Geometry,Hard,26.20%,https://leetcode.com/problems/integer-to-english-words/,1592301
Expression Add Operators,Math & Geometry,Hard,34.90%,https://leetcode.com/problems/expression-add-operators/,675616
Additive Number,Math & Geometry,Medium,29.00%,https://leetcode.com/problems/additive-number/,325029
Integer Break,Math & Geometry,Medium,49.50%,https://leetcode.com/problems/integer-break/,654761
Range Addition,Math & Geometry,Medium,62.20%,https://leetcode.com/problems/range-addition/,138732
Sum of Two Integers,Two Pointers,Easy,50.60%,https://leetcode.com/problems/sum-of-two-integers/,1115923
Integer Replacement,Math & Geometry,Medium,32.40%,https://leetcode.com/problems/integer-replacement/,390670
Add Strings,Math & Geometry,Easy,46.40%,https://leetcode.com/problems/add-strings/,1594872
Add Two Numbers II,Two Pointers,Medium,53.20%,https://leetcode.com/problems/add-two-numbers-ii/,860080
Validate IP Address,Math & Geometry,Medium,22.30%,https://leetcode.com/problems/validate-ip-address/,672095
Fraction Addition and Subtraction,Math & Geometry,Medium,48.20%,https://leetcode.com/problems/fraction-addition-and-subtraction/,200923
Range Addition II,Math & Geometry,Easy,49.30%,https://leetcode.com/problems/range-addition-ii/,207456
Non-negative Integers without Consecutive Ones,Math & Geometry,Hard,33.70%,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/,111529
Add Bold Tag in String,Math & Geometry,Medium,41.60%,https://leetcode.com/problems/add-bold-tag-in-string/,198361
Add One Row to Tree,Trees,Medium,48.80%,https://leetcode.com/problems/add-one-row-to-tree/,455073
Snakes and Ladders,Math & Geometry,Medium,37.30%,https://leetcode.com/problems/snakes-and-ladders/,675384
Minimum Add to Make Parentheses Valid,Stack,Medium,72.20%,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,835977
Unique Email Addresses,Math & Geometry,Easy,67.60%,https://leetcode.com/problems/unique-email-addresses/,805902
Powerful Integers,Math & Geometry,Easy,39.80%,https://leetcode.com/problems/powerful-integers/,137213
Complement of Base 10 Integer,Math & Geometry,Easy,59.40%,https://leetcode.com/problems/complement-of-base-10-integer/,488986
Smallest Integer Divisible by K,Math & Geometry,Medium,31.20%,https://leetcode.com/problems/smallest-integer-divisible-by-k/,144851
Adding Two Negabinary Numbers,Two Pointers,Medium,33.60%,https://leetcode.com/problems/adding-two-negabinary-numbers/,54553
Defanging an IP Address,Math & Geometry,Easy,86.40%,https://leetcode.com/problems/defanging-an-ip-address/,856521
Find Positive Integer Solution for a Given Equation,Math & Geometry,Easy,68.20%,https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation/,109740
Subtract the Product and Sum of Digits of an Integer,Two Pointers,Easy,84.70%,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer/,667810
Find N Unique Integers Sum up to Zero,Two Pointers,Easy,76.20%,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/,322832
Decrypt String from Alphabet to Integer Mapping,Math & Geometry,Easy,76.20%,https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping/,174216
Convert Integer to the Sum of Two No-Zero Integers,Two Pointers,Easy,56.90%,https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/,107571
Sort Integers by The Power Value,Math & Geometry,Medium,72.60%,https://leetcode.com/problems/sort-integers-by-the-power-value/,155564
Different Ways to Add Parentheses,Stack,Medium,53.60%,https://leetcode.com/problems/different-ways-to-add-parentheses/,483879
Add Digits,Math & Geometry,Easy,55.80%,https://leetcode.com/problems/add-digits/,1472602
Word Ladder,Math & Geometry,Medium,28.10%,https://leetcode.com/problems/word-ladder/,3220324
ZigZag Conversion,Misc,Medium,35.10%,https://leetcode.com/problems/zigzag-conversion/,3492445
Regular Expression Matching,Misc,Hard,26.30%,https://leetcode.com/problems/regular-expression-matching/,4022151
Implement strStr(),Misc,Easy,34.00%,https://leetcode.com/problems/implement-strstr/,7500000
Valid Sudoku,Misc,Medium,47.20%,https://leetcode.com/problems/valid-sudoku/,3265165
Sudoku Solver,Misc,Hard,41.50%,https://leetcode.com/problems/sudoku-solver/,1236562
Count and Say,Misc,Easy,43.50%,https://leetcode.com/problems/count-and-say/,2049634
First Missing Positive,Misc,Hard,31.00%,https://leetcode.com/problems/first-missing-positive/,3633291
Trapping Rain Water,Misc,Hard,47.30%,https://leetcode.com/problems/trapping-rain-water/,4449967
Multiply Strings,Misc,Medium,32.90%,https://leetcode.com/problems/multiply-strings/,2340491
Wildcard Matching,Misc,Hard,24.20%,https://leetcode.com/problems/wildcard-matching/,2445938
Group Anagrams,Misc,Medium,55.00%,https://leetcode.com/problems/group-anagrams/,5478243
"Pow(x, n)",Misc,Medium,29.20%,https://leetcode.com/problems/powx-n/,6136715
N-Queens,Misc,Hard,44.40%,https://leetcode.com/problems/n-queens/,1391584
N-Queens II,Misc,Hard,56.10%,https://leetcode.com/problems/n-queens-ii/,655379
Length of Last Word,Misc,Easy,32.50%,https://leetcode.com/problems/length-of-last-word/,4983169
Unique Paths II,Misc,Medium,34.00%,https://leetcode.com/problems/unique-paths-ii/,2873116
Valid Number,Misc,Hard,14.90%,https://leetcode.com/problems/valid-number/,2117854
